fh;betaA_hcw2p;betaA2;betaB_hcw2p;betaB2;R0A;R0B;BaselineA;BaselineB
0.005;0.035;0.00335;0.04;0.0033;1.545;1.405;0;0
0.025;0.075;0.00325;0.1;0.0032;1.535;1.399;0;1
0.05;0.11;0.0031;0.135;0.0031;1.532;1.401;0;0
0.1;0.148;0.0028;0.178;0.00285;1.531;1.403;0;0
0.15;0.169;0.00252;0.201  ;0.00259;1.536;1.402;0;0
0.2;0.18;0.0023;0.215;0.00234;1.536;1.400;0;0
0.25;0.187;0.00212;;;1.535;;1;0
0.3;0.191;0.002;;;1.535;;0;0
0.35;0.195;0.00186;;;1.533;;0;0
0.4;0.1986;0.00173;;;1.536;;0;0
0.45;0.202;0.00159;;;1.535;;0;0
0.5;0.205;0.00145;;;1.535;;0;0
0.55;0.208;0.0013;;;1.537;;0;0
0.6;0.2105;0.001155;;;1.537;;0;0
0.65;0.213;0.00101;;;1.539;;;
0.7;0.215;0.00084;;;1.533;;;
0.75;0.217;0.00072;;;1.537;;;
0.8;0.219;0.00056;;;1.537;;;
0.85;0.2205;0.00043;;;1.537;;;
0.9;0.222;0.00026;;;1.532;;;
0.95;0.2235;0.00013;;;1.534;;;
1;0.225;0;;;1.538;;;
