parameter;baseline;bac_inf_half;bac_inf_full;homo_mix;no_mix
betaA1.hcw2p;0.187;0.187;0.187;0.177;0.194
betaA1.p2hcw ;1.87;1.87;1.87;1.77;1.94
betaB1.hcw2p;0.1  ;0.1  ;0.1  ;0.1115;0.1
betaB1.p2hcw ;1.0;1.0;1.0;1.115;1.0
betaA2;0.00212;0.00212;0.00212;0.0014;0.0024
betaB2 ;0.0032;0.0032;0.0032;0.002273;0.00365
betaA3 ;0.00212;0.00212;0.00212;0.0014;0.0024
betaB3;0.0032;0.0032;0.0032;0.002273;0.00365
betaAB1.hcw2p;0;0.05;0.1;0;0
betaBA1.hcw2p ;0;0.0935;0.187;0;0
betaAB2 ;0;0.0016;0.0032;0;0
betaBA2 ;0;0.00106;0.00212;0;0
betaAB3 ;0;0.0016;0.0032;0;0
betaBA3;0;0.00106;0.00212;0;0
muA1;0.0025;0.0025;0.0025;0.0025;0.0025
muB1;0.025;0.025;0.025;0.025;0.025
muA2;0.0025;0.0025;0.0025;0.0025;0.0025
muB2;0.0025;0.0025;0.0025;0.0025;0.0025
muA3;0.0025;0.0025;0.0025;0.0025;0.0025
muB3;0.0025;0.0025;0.0025;0.0025;0.0025
mS1;0.1;0.1;0.1;0.1;0.1
mA1;0.1;0.1;0.1;0.1;0.1
mB1;0.1;0.1;0.1;0.1;0.1
rho;20;20;20;20;20
n.hcw;100;100;100;100;100
hhfreq;0.4;0.4;0.4;0.4;0.4
c;10;10;10;10;10
time.int;365000;365000;365000;365000;365000
newhhfreq;0.5;0.5;0.5;0.5;0.5
f23;0.1;0.1;0.1;0.1;0
f32;1;1;1;10;0
